Date,Open,High,Low,Close,Adj Close,Volume
2022-11-03,118.260002,119.690002,116.500000,117.680000,117.414711,731100
2022-11-04,121.559998,127.239998,121.559998,126.949997,126.663811,885300
2022-11-07,127.250000,127.250000,123.519997,125.760002,125.476501,578800
2022-11-08,126.019997,135.539993,125.760002,134.000000,133.697922,1084300
2022-11-09,134.750000,135.889999,131.610001,132.199997,131.901978,730300
2022-11-10,138.369995,141.389999,137.479996,139.610001,139.295273,1070500
2022-11-11,139.869995,141.929993,139.080002,141.649994,141.330673,640600
2022-11-14,140.699997,142.910004,140.380005,140.850006,140.532486,453200
2022-11-15,142.630005,143.000000,139.020004,140.639999,140.322952,581300
2022-11-16,140.500000,140.820007,138.889999,139.360001,139.045837,403100
2022-11-17,136.710007,137.059998,135.350006,136.429993,136.122437,473400
2022-11-18,136.020004,138.960007,135.419998,138.789993,138.477112,461000
2022-11-21,137.940002,138.160004,136.029999,137.190002,136.880737,372300
2022-11-22,138.399994,143.369995,137.970001,143.360001,143.036819,565700
2022-11-23,143.000000,144.539993,141.330002,144.500000,144.174255,607500
2022-11-25,144.500000,144.960007,143.529999,144.449997,144.124359,312400
2022-11-28,143.419998,143.800003,139.229996,139.300003,138.985977,484700
2022-11-29,140.979996,142.690002,139.990005,141.919998,141.600067,412200
2022-11-30,143.839996,146.729996,141.919998,146.119995,145.790588,649900
2022-12-01,149.330002,150.000000,146.410004,147.259995,146.928024,644600
2022-12-02,145.289993,146.369995,142.539993,145.539993,145.211899,807400
2022-12-05,144.529999,145.179993,142.050003,143.029999,142.707565,948900
2022-12-06,144.190002,146.000000,141.589996,141.949997,141.630005,596600
2022-12-07,142.320007,144.380005,142.100006,142.809998,142.809998,725400
2022-12-08,144.130005,144.410004,142.479996,143.619995,143.619995,515000
2022-12-09,144.190002,144.779999,140.789993,140.809998,140.809998,470200
2022-12-12,139.990005,142.000000,139.059998,141.850006,141.850006,461600
2022-12-13,146.250000,147.800003,142.169998,144.119995,144.119995,554500
2022-12-14,144.100006,145.360001,142.130005,143.809998,143.809998,560300
2022-12-15,140.000000,140.809998,137.710007,137.779999,137.779999,778600
2022-12-16,128.740005,133.669998,128.740005,132.500000,132.500000,2281000
2022-12-19,133.000000,133.869995,131.389999,131.850006,131.850006,911500
2022-12-20,133.649994,134.750000,132.479996,133.050003,133.050003,1270000
2022-12-21,134.000000,135.000000,133.520004,134.759995,134.759995,640200
2022-12-22,133.009995,134.679993,132.699997,134.600006,134.600006,472000
2022-12-23,135.000000,137.309998,133.789993,135.850006,135.850006,349100
2022-12-27,136.630005,139.750000,136.110001,138.789993,138.789993,391000
2022-12-28,138.000000,138.429993,136.119995,136.770004,136.770004,374600
2022-12-29,138.369995,138.770004,136.500000,136.710007,136.710007,350200
2022-12-30,137.429993,137.429993,135.190002,136.479996,136.479996,375900
